collect_scheduled_date,collect_token,datetime_from,datetime_to,pickup_date,Creation Date,Modified Date,dependents_qty,household,preferred_contact_methods,preferred_languages,sex,status,year_month,dw,age_group,days_since_last_pickup,days_diff_scheduled_actual,rescheduled_flag,month,total_visits,avg_days_between_pickups,is_single_pickup,return_binary,distance_to_center,location_cluster
2024-04-18 3:00,FP4WI9,2024-04-18 3:00,2024-04-18 3:00,2024-04-19 0:22,2024-04-19 0:21,2024-04-19 0:22,1,yes,SMS,English,Female,Active,Apr-24,yes,"[35, 40)",0,0,1,4,2,13,FALSE,Yes,5.036257522101492,2
2024-05-18 3:00,1KX81F,2024-05-18 3:00,2024-05-18 3:00,2024-05-02 17:27,2024-04-19 0:21,2024-05-02 17:27,1,yes,SMS,English,Female,Active,May-24,yes,"[35, 40)",13,-16,1,5,2,13,FALSE,No,5.036257522101492,2
2024-04-18 3:00,QDWTTZ,2024-04-18 3:00,2024-04-18 3:00,2024-05-01 15:48,2024-01-25 14:40,2024-05-01 15:48,1,yes,SMS,"English , Somali",Male,Active,May-24,yes,"[35, 40)",0,13,1,5,6,19.6,FALSE,Yes,3.3248005821055724,2
2024-05-18 3:00,85L7QJ,2024-05-18 3:00,2024-05-18 3:00,2024-05-31 11:36,2024-01-25 14:40,2024-05-31 11:36,1,yes,SMS,"English , Somali",Male,Active,May-24,yes,"[35, 40)",29,13,1,5,6,19.6,FALSE,Yes,3.3248005821055724,2
2024-05-18 3:00,85L7QJ,2024-05-18 3:00,2024-05-18 3:00,2024-05-31 11:36,2024-07-30 21:33,2024-08-02 11:34,1,yes,SMS,"English , Somali",Male,Active,May-24,yes,"[35, 40)",0,13,1,5,6,19.6,FALSE,Yes,3.3248005821055724,2
2024-07-18 3:00,GWTFN8,2024-07-18 3:00,2024-07-18 3:00,2024-07-08 19:24,2024-01-25 14:40,2024-07-08 19:24,1,yes,SMS,"English , Somali",Male,Active,Jul-24,yes,"[35, 40)",38,-10,1,7,6,19.6,FALSE,Yes,3.3248005821055724,2
2024-07-18 3:00,GWTFN8,2024-07-18 3:00,2024-07-18 3:00,2024-07-08 19:24,2024-07-30 21:33,2024-08-02 11:33,1,yes,SMS,"English , Somali",Male,Active,Jul-24,yes,"[35, 40)",0,-10,1,7,6,19.6,FALSE,Yes,3.3248005821055724,2
2024-08-18 3:00,KYAYF0,2024-08-18 3:00,2024-08-18 3:00,2024-08-09 12:09,2024-01-25 14:40,2024-08-09 12:09,1,yes,SMS,"English , Somali",Male,Active,Aug-24,yes,"[35, 40)",31,-9,1,8,6,19.6,FALSE,No,3.3248005821055724,2
2023-11-06 4:00,4ZZO76,2023-11-06 4:00,2023-11-06 4:00,2023-11-06 14:33,2023-11-06 14:22,2024-02-19 10:30,1,yes,"WhatsApp , SMS",English,Male,Active,Nov-23,yes,"[35, 40)",0,0,1,11,2,0,FALSE,Yes,0.1485321168673009,0
2023-12-06 4:00,RPZPFP,2023-12-06 4:00,2023-12-06 4:00,2023-11-06 14:42,2023-11-06 14:22,2024-02-19 10:30,1,yes,"WhatsApp , SMS",English,Male,Active,Nov-23,yes,"[35, 40)",0,-30,1,11,2,0,FALSE,No,0.1485321168673009,0
